# Real per-minute counters captured from the paperclip.service cgroup across the
# 2026-08-03 memory-thrash incident and the operator's ~06:21Z fix.
# columns: timestamp  memory.events:high  memory.current
2026-08-03T06:00:27+00:00 198609 4294762496
2026-08-03T06:01:01+00:00 200808 4069859328
2026-08-03T06:02:01+00:00 201949 4033040384
2026-08-03T06:03:01+00:00 202725 3539992576
2026-08-03T06:04:01+00:00 205496 4292628480
2026-08-03T06:05:01+00:00 210096 4294574080
2026-08-03T06:06:01+00:00 214726 4294549504
2026-08-03T06:07:01+00:00 218824 4294107136
2026-08-03T06:08:01+00:00 221232 4293414912
2026-08-03T06:09:01+00:00 222376 3687735296
2026-08-03T06:10:01+00:00 224441 4294139904
2026-08-03T06:11:01+00:00 229149 4295430144
2026-08-03T06:12:01+00:00 232086 4295319552
2026-08-03T06:13:01+00:00 237568 4177915904
2026-08-03T06:14:01+00:00 243293 4294365184
2026-08-03T06:15:01+00:00 247988 4294029312
2026-08-03T06:16:01+00:00 251978 4294955008
2026-08-03T06:17:01+00:00 256211 2630717440
2026-08-03T06:18:01+00:00 257798 4294860800
2026-08-03T06:19:01+00:00 259908 4294447104
2026-08-03T06:20:01+00:00 262450 4292685824
2026-08-03T06:21:01+00:00 263202 1981419520
2026-08-03T06:22:01+00:00 263202 2951708672
2026-08-03T06:23:01+00:00 263202 3166363648
2026-08-03T06:24:01+00:00 263202 3180085248
2026-08-03T06:25:01+00:00 263202 5309444096
2026-08-03T06:26:01+00:00 263202 4242452480
2026-08-03T06:27:01+00:00 263202 4360151040
2026-08-03T06:28:01+00:00 263202 3564032000
2026-08-03T06:29:01+00:00 263202 3539603456
2026-08-03T06:30:02+00:00 263202 3534921728
2026-08-03T06:31:01+00:00 263202 3579277312
2026-08-03T06:32:01+00:00 263202 3730354176
2026-08-03T06:33:01+00:00 263202 4025806848
2026-08-03T06:34:01+00:00 263202 4110675968
2026-08-03T06:35:01+00:00 263202 4064223232
2026-08-03T06:36:01+00:00 263202 5254733824
2026-08-03T06:37:01+00:00 263202 4149014528
2026-08-03T06:38:01+00:00 263202 4815179776
2026-08-03T06:39:01+00:00 263202 4868698112
2026-08-03T06:40:01+00:00 263202 4482015232
2026-08-03T06:41:01+00:00 263202 4261175296
2026-08-03T06:42:01+00:00 263202 4432769024
2026-08-03T06:43:01+00:00 263202 4506415104
2026-08-03T06:44:01+00:00 263202 4522295296
2026-08-03T06:45:01+00:00 263202 4516016128
2026-08-03T06:46:02+00:00 263202 6167773184
2026-08-03T06:47:01+00:00 263202 7924322304
2026-08-03T06:48:01+00:00 263202 8148389888
2026-08-03T06:49:01+00:00 263202 5915201536
2026-08-03T06:50:02+00:00 263202 6142488576
2026-08-03T06:51:01+00:00 263202 8127139840
2026-08-03T06:52:01+00:00 263202 8080654336
2026-08-03T06:53:01+00:00 263202 8173608960
2026-08-03T06:54:01+00:00 263202 8189235200
2026-08-03T06:55:01+00:00 263202 8297316352
2026-08-03T06:56:01+00:00 263202 8147890176
2026-08-03T06:57:01+00:00 263202 9051103232
2026-08-03T06:58:01+00:00 263202 9990115328
2026-08-03T06:59:01+00:00 263202 8617336832
2026-08-03T07:00:01+00:00 263202 8383733760
2026-08-03T07:01:01+00:00 263202 8364875776
2026-08-03T07:02:01+00:00 263202 8776642560
2026-08-03T07:03:02+00:00 263202 8768380928
2026-08-03T07:04:01+00:00 263202 8107175936
2026-08-03T07:05:01+00:00 263202 8898445312
2026-08-03T07:06:01+00:00 263202 8936857600
2026-08-03T07:07:01+00:00 263202 9007099904
2026-08-03T07:08:01+00:00 263202 8372912128
2026-08-03T07:09:01+00:00 263202 8714342400
2026-08-03T07:10:01+00:00 263202 8705527808
2026-08-03T07:11:01+00:00 263202 9458724864
